APPEND: Start: 4712708500, End: 4723244208, Latency: 10535708 µs
APPEND: Start: 4723400875, End: 4734153875, Latency: 10753000 µs
GET: Start: 4734218375, End: 4744577667, Latency: 10359292 µs
GET: Start: 4744639750, End: 4755143917, Latency: 10504167 µs
GET: Start: 4755191708, End: 4765741000, Latency: 10549292 µs
GET: Start: 4765898417, End: 4776662167, Latency: 10763750 µs
GET: Start: 4776748833, End: 4788547208, Latency: 11798375 µs
APPEND: Start: 4788595000, End: 4798959458, Latency: 10364458 µs
GET: Start: 4799072833, End: 4809686792, Latency: 10613959 µs
APPEND: Start: 4809731208, End: 4820329958, Latency: 10598750 µs
APPEND: Start: 4820655250, End: 4831349875, Latency: 10694625 µs
APPEND: Start: 4831410417, End: 4841786708, Latency: 10376291 µs
APPEND: Start: 4841856458, End: 4852260708, Latency: 10404250 µs
APPEND: Start: 4852324417, End: 4862617208, Latency: 10292791 µs
APPEND: Start: 4862660167, End: 4873067458, Latency: 10407291 µs
APPEND: Start: 4873115000, End: 4883458042, Latency: 10343042 µs
APPEND: Start: 4883507875, End: 4893893000, Latency: 10385125 µs
APPEND: Start: 4893929083, End: 4904261667, Latency: 10332584 µs
GET: Start: 4904313417, End: 4914664167, Latency: 10350750 µs
APPEND: Start: 4914723208, End: 4925152583, Latency: 10429375 µs
APPEND: Start: 4925226125, End: 4935552125, Latency: 10326000 µs
GET: Start: 4935631000, End: 4945987500, Latency: 10356500 µs
GET: Start: 4946057167, End: 4956409208, Latency: 10352041 µs
